tabela,n,secao,variavel,descricao,tipo,tamanho,categorias,observacao
cadastro_ies,11,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_MESORREGIAO_IES,Código da Mesorregião da sede administrativa ou reitoria da IES,Num,4,,
cadastro_ies,12,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_MICRORREGIAO_IES,Nome da Microrregião da sede administrativa ou reitoria da IES,Char,100,,
cadastro_ies,13,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_MICRORREGIAO_IES,Código da Microrregião da sede administrativa ou reitoria da IES,Num,5,,
cadastro_ies,14,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,TP_ORGANIZACAO_ACADEMICA,Tipo de Organização Acadêmica da IES,Num,1,"1. Universidade
2. Centro Universitário
3. Faculdade
4. Instituto Federal de Educação, Ciência e Tecnologia                                
5. Centro Federal de Educação Tecnológica",
cadastro_ies,15,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,TP_REDE,Rede de Ensino,Num,1,"1. Pública
2. Privada",
cadastro_ies,16,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,TP_CATEGORIA_ADMINISTRATIVA,Tipo de Categoria Administrativa da IES,Num,1,"1. Pública Federal
2. Pública Estadual
3. Pública Municipal
4. Privada com fins lucrativos
5. Privada sem fins lucrativos
6. Privada - Particular em sentido estrito
7. Especial
8. Privada comunitária
9. Privada confessional",
cadastro_ies,17,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,IN_COMUNITARIA,Informa se a instituição privada é comunitária,Num,1,Informa se a instituição privada é comunitária,
cadastro_ies,18,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,IN_CONFESSIONAL,Informa se a instituição privada é confessional,Num,1,Informa se a instituição privada é confessional,
cadastro_ies,19,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_MANTENEDORA,Nome da mantenedora da IES,Char,100,,
cadastro_ies,20,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_MANTENEDORA,Código único de identificação da mantenedora da IES,Num,8,,
cadastro_ies,21,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,CO_IES,Código único de identificação da IES,Num,8,,
cadastro_ies,22,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,NO_IES,Nome da IES,Char,200,,
cadastro_ies,23,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,SG_IES,Sigla da IES,Char,20,,
cadastro_ies,24,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,DS_ENDERECO_IES,Endereço da sede administrativa/reitoria da IES,Char,255,,
cadastro_ies,25,DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA,DS_NUMERO_ENDERECO_IES,Número do endereço,Char,10,,
